baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EQU24_RS00245	218.785247542606	0.478282388606477	0.1774497573706	2.6953115952004	0.00703228345711219	0.0149515215844908
EQU24_RS00250	91.3341812682763	1.74493801216325	0.250266848062098	6.97230985915596	3.11778896886968e-12	3.76764136840517e-11
EQU24_RS00255	138.255204685934	2.00950890755195	0.24139722318745	8.32449056794463	8.46921733489687e-17	1.64944174502943e-15
EQU24_RS00260	182.663062223035	2.04045386590933	0.228475748076592	8.93072408378903	4.23229460188338e-19	1.02288951462386e-17
EQU24_RS00265	652.462028603969	0.951981626805152	0.161121552036961	5.90846857400412	3.45302667257088e-09	2.6138760396895e-08
EQU24_RS00270	494.054389937159	-0.577517938246411	0.156731552398591	-3.68475861693565	0.000228919485064303	0.000701087766471744
EQU24_RS00275	516.81846286682	-0.233996902751847	0.0977949454446384	-2.39273003004345	0.0167235413161336	0.0319051231739425
EQU24_RS00280	724.463270186274	-0.359729655834126	0.146127608238204	-2.46175011122967	0.0138260959719907	0.0270983375865299
EQU24_RS00285	693.699979214761	0.267527806995944	0.103648290771533	2.58111161317307	0.00984827358891724	0.0201177564352016
EQU24_RS00290	270.053271043222	-0.0920284118200883	0.15855647063545	-0.580414103891592	0.561635396284392	0.641412243066604
EQU24_RS00300	1961.41111392484	8.84918031003106e-05	0.155207968780817	0.00057014986920728	0.999545086246662	0.999545086246662
EQU24_RS00305	558.826291023072	-0.935190604374431	0.30199928292643	-3.09666498314916	0.00195710920556462	0.00481122679701302
EQU24_RS00310	1816.84954815213	0.227576316729689	0.218610783657683	1.04101139441522	0.297870259994625	0.381684919545971
EQU24_RS00315	552.752284679269	-0.875003678889878	0.160417318846653	-5.45454621222237	4.90980657400327e-08	3.06347495721635e-07
EQU24_RS00320	491.970131042475	-0.408582612829516	0.200033369241227	-2.04257226871379	0.0410947986154797	0.0698315679988584
EQU24_RS00330	818.013676673816	-0.180360833154675	0.179429094720901	-1.00519279459791	0.314804024059942	0.398924113875075
EQU24_RS00335	709.993062577585	-0.638238106785237	0.245094510831164	-2.60404896307488	0.00921295940705518	0.0189453578375732
EQU24_RS00340	664.281957098578	-0.802722519441706	0.172577061614239	-4.65138594859165	3.29711605648774e-06	1.47799213615964e-05
EQU24_RS00345	606.10474712157	-0.435756614311364	0.236732984583869	-1.84070933367119	0.0656641654100866	0.105083618518256
EQU24_RS00350	1051.33962939899	-0.878720928686473	0.149158928067675	-5.89117218841762	3.83465728338197e-09	2.89185056784369e-08
EQU24_RS00355	1358.10452597301	-0.236220979406952	0.114495353871909	-2.06314903983984	0.0390984701191438	0.0667218469238643
EQU24_RS00360	584.37221095349	-1.34280959296551	0.152340575099777	-8.81452359022553	1.20195067274606e-18	2.72442152489107e-17
EQU24_RS00365	829.051147382559	0.169701464562361	0.152851073375373	1.11024058133767	0.266895369902069	0.347318917952352
EQU24_RS00370	197.665805800408	0.226518932219821	0.227438931456047	0.995954961490825	0.319272028856082	0.403439174730898
EQU24_RS00375	1031.75422517319	-0.144292493637726	0.123744547274688	-1.16605132763892	0.24359369373672	0.321373857044301
EQU24_RS00380	1141.52548177405	-0.84643260435653	0.20086765144094	-4.2138821173274	2.51018335796999e-05	9.38569956400337e-05
EQU24_RS00390	400.523477707884	0.437874023998899	0.229390364455618	1.90885970750362	0.0562801920215197	0.0921616858736069
EQU24_RS00395	975.981766151916	-0.407742081360983	0.0735737839654395	-5.54194795190248	2.99125226414671e-08	1.951366517684e-07
EQU24_RS00400	1650.89959548586	-0.853090357742237	0.122777988815024	-6.9482353146173	3.69883677649577e-12	4.33910325944475e-11
EQU24_RS00405	1593.53332268498	-0.270897236059872	0.150154355572049	-1.80412506202583	0.0712117036570237	0.112836238180087
EQU24_RS00410	1848.60046991178	0.253347124600729	0.212610981557152	1.19159943077835	0.23341834831972	0.310708166376482
EQU24_RS00415	2536.65330587755	-0.912721332716386	0.192559990071302	-4.73993238355703	2.13789550946629e-06	9.99677946850673e-06
EQU24_RS00420	7852.81378356566	0.0941291162899814	0.147078322761797	0.639993131023324	0.52217706508576	0.604959395069035
EQU24_RS00425	2164.4333157806	-0.595195886525903	0.165713401926436	-3.5917184706046	0.000328504621607207	0.000979896313671462
EQU24_RS00430	2114.93841746118	-0.251049752297148	0.14265167095647	-1.75987950659026	0.0784282387270243	0.122701484162793
EQU24_RS00435	3739.77996462337	-0.796440528113358	0.130085163020817	-6.12245477976539	9.21445725227467e-10	7.70175052002624e-09
EQU24_RS00440	2920.94796461277	-1.00457575790678	0.219896364489111	-4.5684054861058	4.91448586900285e-06	2.13155862772318e-05
EQU24_RS00445	753.582833253294	-0.578364447440715	0.158927079228241	-3.63918125375038	0.00027350624645352	0.000828781767954323
