locus_tag	cmetab
EQU24_RS14860	biosynthesis
EQU24_RS15170	biosynthesis
EQU24_RS14375	biosynthesis
EQU24_RS12690	biosynthesis
EQU24_RS04500	biosynthesis
EQU24_RS14370	biosynthesis
EQU24_RS11815	biosynthesis
EQU24_RS14385	biosynthesis
EQU24_RS13215	biosynthesis
EQU24_RS13210	biosynthesis
EQU24_RS13205	biosynthesis
EQU24_RS00845	biosynthesis
EQU24_RS00840	biosynthesis
EQU24_RS00835	biosynthesis
EQU24_RS00830	biosynthesis
EQU24_RS00445	biosynthesis
EQU24_RS00440	biosynthesis
EQU24_RS00435	biosynthesis
EQU24_RS00430	biosynthesis
EQU24_RS00425	biosynthesis
EQU24_RS03125	biosynthesis
EQU24_RS03120	biosynthesis
EQU24_RS09260	biosynthesis
EQU24_RS17340	biosynthesis
EQU24_RS14255	biosynthesis
EQU24_RS19275	biosynthesis
EQU24_RS08905	biosynthesis
EQU24_RS08900	biosynthesis
EQU24_RS08880	biosynthesis
EQU24_RS12910	biosynthesis
EQU24_RS12905	biosynthesis
EQU24_RS19560	biosynthesis
EQU24_RS15260	biosynthesis
EQU24_RS09445	biosynthesis
EQU24_RS09440	biosynthesis
EQU24_RS00745	biosynthesis
EQU24_RS06945	biosynthesis
EQU24_RS13755	biosynthesis
EQU24_RS19110	biosynthesis
EQU24_RS00765	biosynthesis
EQU24_RS18075	biosynthesis
EQU24_RS09430	biosynthesis
EQU24_RS04080	biosynthesis
EQU24_RS04070	biosynthesis
EQU24_RS04065	biosynthesis
EQU24_RS18780	biosynthesis
EQU24_RS18775	biosynthesis
EQU24_RS12080	biosynthesis
EQU24_RS12075	biosynthesis
EQU24_RS07045	biosynthesis
EQU24_RS07945	biosynthesis
EQU24_RS18770	biosynthesis
EQU24_RS11775	biosynthesis
EQU24_RS05375	biosynthesis
EQU24_RS11770	biosynthesis
EQU24_RS07185	biosynthesis
EQU24_RS07340	biosynthesis
EQU24_RS04560	biosynthesis
EQU24_RS11780	biosynthesis
EQU24_RS16650	biosynthesis
EQU24_RS14390	biosynthesis
EQU24_RS16645	biosynthesis
EQU24_RS07950	biosynthesis
EQU24_RS16165	biosynthesis
EQU24_RS18615	biosynthesis
EQU24_RS18670	biosynthesis
EQU24_RS23105	biosynthesis
EQU24_RS18665	biosynthesis
EQU24_RS18660	biosynthesis
EQU24_RS14600	biosynthesis
EQU24_RS12975	biosynthesis
EQU24_RS00740	biosynthesis
EQU24_RS19600	biosynthesis
EQU24_RS19605	biosynthesis
EQU24_RS19610	biosynthesis
EQU24_RS10385	biosynthesis
EQU24_RS15085	biosynthesis
EQU24_RS04830	biosynthesis
EQU24_RS09660	biosynthesis
EQU24_RS10365	biosynthesis
EQU24_RS01715	biosynthesis
EQU24_RS11145	biosynthesis
EQU24_RS09665	biosynthesis
EQU24_RS01700	biosynthesis
EQU24_RS10375	biosynthesis
EQU24_RS01710	biosynthesis
EQU24_RS10380	biosynthesis
EQU24_RS12700	biosynthesis
EQU24_RS12695	biosynthesis
EQU24_RS19975	energy metabolism
EQU24_RS19970	energy metabolism
EQU24_RS19965	energy metabolism
EQU24_RS19960	energy metabolism
EQU24_RS19955	energy metabolism
EQU24_RS19950	energy metabolism
EQU24_RS19945	energy metabolism
EQU24_RS19940	energy metabolism
EQU24_RS19935	energy metabolism
EQU24_RS19930	energy metabolism
EQU24_RS19940	energy metabolism
EQU24_RS17265	energy metabolism
EQU24_RS17260	energy metabolism
EQU24_RS17255	energy metabolism
EQU24_RS17250	energy metabolism
EQU24_RS17245	energy metabolism
EQU24_RS17240	energy metabolism
EQU24_RS17235	energy metabolism
EQU24_RS10195	energy metabolism
EQU24_RS20430	energy metabolism
EQU24_RS20420	energy metabolism
EQU24_RS20415	energy metabolism
EQU24_RS20410	energy metabolism
EQU24_RS20405	energy metabolism
EQU24_RS20400	energy metabolism
EQU24_RS09960	energy metabolism
EQU24_RS09955	energy metabolism
EQU24_RS09950	energy metabolism
EQU24_RS09945	energy metabolism
EQU24_RS09940	energy metabolism
EQU24_RS09935	energy metabolism
EQU24_RS09930	energy metabolism
EQU24_RS02265	energy metabolism
EQU24_RS02260	energy metabolism
EQU24_RS02255	energy metabolism
EQU24_RS02250	energy metabolism
EQU24_RS02245	energy metabolism
EQU24_RS02240	energy metabolism
EQU24_RS02235	energy metabolism
EQU24_RS02230	energy metabolism
EQU24_RS02225	energy metabolism
EQU24_RS09080	energy metabolism
EQU24_RS09075	energy metabolism
EQU24_RS09070	energy metabolism
EQU24_RS08260	energy metabolism
EQU24_RS08255	energy metabolism
EQU24_RS14130	energy metabolism
EQU24_RS14125	energy metabolism
EQU24_RS14115	energy metabolism
EQU24_RS14110	energy metabolism
EQU24_RS01760	energy metabolism
EQU24_RS03115	energy metabolism
EQU24_RS03110	energy metabolism
EQU24_RS03105	energy metabolism
EQU24_RS11515	energy metabolism
EQU24_RS01470	energy metabolism
EQU24_RS09785	energy metabolism
EQU24_RS09780	energy metabolism
EQU24_RS09775	energy metabolism
EQU24_RS09770	energy metabolism
EQU24_RS09765	energy metabolism
EQU24_RS09760	energy metabolism
EQU24_RS04635	central metabolism
EQU24_RS04630	central metabolism
EQU24_RS04625	central metabolism
EQU24_RS04560	central metabolism
EQU24_RS16740	central metabolism
EQU24_RS16735	central metabolism
EQU24_RS09360	central metabolism
EQU24_RS19175	central metabolism
EQU24_RS05845	central metabolism
EQU24_RS04575	central metabolism
EQU24_RS08335	central metabolism
EQU24_RS01795	central metabolism
EQU24_RS06980	central metabolism
EQU24_RS06975	central metabolism
EQU24_RS06970	central metabolism
EQU24_RS06965	central metabolism
EQU24_RS04220	central metabolism
EQU24_RS04215	central metabolism
EQU24_RS11665	central metabolism
EQU24_RS11660	central metabolism
EQU24_RS20940	central metabolism
EQU24_RS21340	central metabolism
EQU24_RS06025	central metabolism
EQU24_RS19875	central metabolism
EQU24_RS06015	central metabolism
EQU24_RS06100	central metabolism
EQU24_RS06010	central metabolism
EQU24_RS21930	central metabolism
EQU24_RS07200	central metabolism
EQU24_RS21620	central metabolism
EQU24_RS21605	central metabolism
EQU24_RS21590	central metabolism
EQU24_RS21575	central metabolism
EQU24_RS18080	central metabolism
EQU24_RS13265	central metabolism
EQU24_RS11345	central metabolism
EQU24_RS23165	central metabolism
EQU24_RS23160	central metabolism
EQU24_RS23155	central metabolism
EQU24_RS23150	central metabolism
EQU24_RS23145	central metabolism
